a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a21,target
0,2.0446109979877796,3,9,1.731389930237946,0,4,0.024146916773074168,2,0,1.0469866784197936,3,2.481494595855938,2,1,1.054769788484074,2,0.0,1,1.5275252316519468,0
2,0.06531671145556327,4,7,-0.3348972586367908,0,1,-0.8701833340815202,0,0,-1.6724592395536968,2,-0.22102071010591323,2,0,-0.7149781787710835,2,0.0,0,1.5275252316519468,0
3,-1.3484649217817342,2,1,-0.8303121414243356,2,2,-0.8701833340815202,2,0,1.0469866784197936,1,1.3104046299391356,2,0,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
3,0.06531671145556327,0,0,0.8928899485670599,4,2,-1.7645135849361147,1,0,1.0469866784197936,1,-0.5813560842341601,0,1,1.054769788484074,2,0.0,1,1.5275252316519468,0
3,-0.7829522684868152,2,4,-0.9904185209032282,4,2,0.9184771676276685,1,0,-0.7659772668958666,2,-1.3020268324906537,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
0,0.34807303810302276,2,0,-0.7360781009310445,0,3,0.9184771676276685,1,0,1.0469866784197936,2,-1.1218591454265303,2,0,1.054769788484074,2,0.0,0,1.5275252316519468,0
3,-1.3484649217817342,2,3,-0.033439818417961564,2,2,-1.7645135849361147,2,0,-0.7659772668958666,2,-0.31110455363797496,2,1,-0.7149781787710835,2,0.0,1,-0.6546536707079773,0
0,0.34807303810302276,2,3,-0.3165993866963459,1,0,-1.7645135849361147,0,0,-1.6724592395536968,1,-0.22102071010591323,2,1,-0.7149781787710835,2,0.0,0,1.5275252316519468,0
0,0.34807303810302276,2,3,-0.02520577604476137,4,2,-0.8701833340815202,3,0,1.0469866784197936,2,-1.3921106760227153,2,1,-0.7149781787710835,2,0.0,0,1.5275252316519468,0
3,-0.21743961519189622,4,3,0.3334325139879581,0,1,0.024146916773074168,0,0,-0.7659772668958666,2,-0.040853023041789824,2,1,1.054769788484074,3,0.0,1,-0.6546536707079773,0
3,0.6308293647504822,2,6,0.9784324998886398,4,4,0.9184771676276685,2,0,1.0469866784197936,1,1.1302369428750123,2,1,3.7093917393668105,2,0.0,1,-0.6546536707079773,0
1,1.4790983446928607,2,4,0.7977410144767466,0,1,0.9184771676276685,1,0,-1.6724592395536968,3,-0.49127224070209835,2,1,-0.7149781787710835,3,0.0,1,-0.6546536707079773,0
0,-0.7829522684868152,1,0,-1.0768759658218303,0,1,0.9184771676276685,2,0,-0.7659772668958666,2,0.950069255810889,0,1,1.054769788484074,2,0.0,1,1.5275252316519468,0
3,-0.21743961519189622,0,9,0.5095495314147399,0,2,-0.8701833340815202,2,0,-0.7659772668958666,2,0.04923082049027188,1,1,1.054769788484074,2,0.0,0,1.5275252316519468,0
0,-0.5944480507218421,2,0,0.4217197461006046,0,0,-1.7645135849361147,2,0,1.0469866784197936,3,-1.211942988958592,2,2,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
3,-0.21743961519189622,4,7,-0.5430355519593512,1,2,0.9184771676276685,1,0,-0.7659772668958666,0,-0.49127224070209835,2,1,1.054769788484074,2,0.0,0,1.5275252316519468,0
2,-1.3484649217817342,4,7,-0.9167695863429377,0,2,-0.8701833340815202,1,0,1.0469866784197936,1,1.3104046299391356,2,1,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
3,-0.21743961519189622,2,4,-1.1976419206287665,0,0,0.024146916773074168,1,1,1.0469866784197936,0,-1.211942988958592,2,0,-0.7149781787710835,2,0.0,0,1.5275252316519468,0
1,1.4790983446928607,2,7,0.3018686848906907,4,2,-0.8701833340815202,3,0,-0.7659772668958666,2,-0.7615237712982834,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
1,-1.0657085951342746,2,4,-0.8440355453796693,0,4,0.9184771676276685,1,0,1.0469866784197936,0,-0.9416914583624069,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
3,-1.3484649217817342,2,3,-0.6898759742814212,3,2,0.9184771676276685,0,0,-0.7659772668958666,0,-0.22102071010591323,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
3,-1.536969139546707,4,0,0.15045379458350938,0,3,-1.7645135849361147,1,0,-1.6724592395536968,0,0.13931466402233358,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
2,0.34807303810302276,2,4,-0.820248311857091,2,2,0.024146916773074168,1,0,0.1405047057619635,2,1.9409915346635678,2,1,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
3,-0.7829522684868152,2,4,-0.44742917107052677,1,2,0.9184771676276685,1,1,-0.7659772668958666,0,-0.6714399277662217,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
0,0.06531671145556327,2,4,-0.20361002746409884,0,1,0.9184771676276685,1,0,1.0469866784197936,1,-0.6714399277662217,2,0,-0.7149781787710835,3,0.0,1,-0.6546536707079773,0
